expression,sentence
"L[i, j] = L[i-1, j-1] + 1 assuming A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]) assuming A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L((i), (j)) = 0 if ((i == 0) or (j == 0))","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[(i), (j)] = L[(i-1), (j-1)] + 1 if (A[i] == B[j])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max((L[i-1, j]), (L[i, j-1])) if (A[i] != B[j])","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"if i = 0 or j = 0, L(i, j) = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"if A[i] == B[j], then L(i, j) = L(i-1, j-1) + 1","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"if A[i] != B[j], then L(i, j) = max(L(i-1, j), L(i, j-1))","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
L[i] = 0 if i == 0,"If the first-dimensional variable is 0, the value is 0."
"if i == 0, then L[i] = 0","If the first-dimensional variable is 0, the value is 0."
L[i] = 0 provided that i == 0,"If the first-dimensional variable is 0, the value is 0."
L[i] = 0 whenever i == 0,"If the first-dimensional variable is 0, the value is 0."
"When i == 0, L[i] = 0","If the first-dimensional variable is 0, the value is 0."
L[i] = L[i-1] + 1 if A[i] == A[i-1],"If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 1 more than the value at the position where the first-dimensional variable is 1 less."
"if A[i] == A[i-1], then L[i] = L[i-1] + 1","If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 1 more than the value at the position where the first-dimensional variable is 1 less."
L[i] = L[i-1] + 1 provided that A[i] == A[i-1],"If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 1 more than the value at the position where the first-dimensional variable is 1 less."
"When A[i] == A[i-1], L[i] = L[i-1] + 1","If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 1 more than the value at the position where the first-dimensional variable is 1 less."
"L[i] = L[i-1] + 1, whenever A[i] == A[i-1]","If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 1 more than the value at the position where the first-dimensional variable is 1 less."
"L[i] = max(L[i-1], 0) if A[i] != A[i-1]","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
"if A[i] != A[i-1], then L[i] = max(L[i-1], 0)","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
"L[i] = max(L[i-1], 0) provided that A[i] != A[i-1]","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
"When A[i] != A[i-1], L[i] = max(L[i-1], 0)","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
"L[i] = max(L[i-1], 0), whenever A[i] != A[i-1]","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
L[i] = 0 assuming i == 0,"If the first-dimensional variable is 0, the value is 0."
L[i] = L[i-1] + 1 assuming A[i] == A[i-1],"If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 1 more than the value at the position where the first-dimensional variable is 1 less."
"L[i] = max(L[i-1], 0) assuming A[i] != A[i-1]","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
L((i)) = 0 if ((i == 0)),"If the first-dimensional variable is 0, the value is 0."
L((i)) = L((i-1)) + 1 if ((A[i] == A[i-1])),"If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 1 more than the value at the position where the first-dimensional variable is 1 less."
"L((i)) = max((L((i-1))), 0) if ((A[i] != A[i-1]))","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
"if i == 0, then L(i) = 0","If the first-dimensional variable is 0, the value is 0."
"if A[i] == A[i-1], then L(i) = L(i-1) + 1","If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 1 more than the value at the position where the first-dimensional variable is 1 less."
"if A[i] != A[i-1], then L(i) = max(L(i-1), 0)","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
T[i] = 0 if i == 0,"If the first-dimensional variable is 0, the value is 0."
"if i == 0, then T[i] = 0","If the first-dimensional variable is 0, the value is 0."
G[i] = 0 provided that i == 0,"If the first-dimensional variable is 0, the value is 0."
"When i == 0, F[i] = 0","If the first-dimensional variable is 0, the value is 0."
P[i] = 0 whenever i == 0,"If the first-dimensional variable is 0, the value is 0."
T[i] = T[i-1] + 2 if X[i] == X[i-1],"If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 2 more than the value at the position where the first-dimensional variable is 1 less."
"if X[i] == X[i-1], then F[i] = F[i-1] + 3","If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 3 more than the value at the position where the first-dimensional variable is 1 less."
G[i] = G[i-1] + 4 provided that A[i] == A[i-1],"If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 4 more than the value at the position where the first-dimensional variable is 1 less."
"When B[i] == B[i-1], P[i] = P[i-1] + 5","If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 5 more than the value at the position where the first-dimensional variable is 1 less."
"T[i] = T[i-1] + 6, whenever C[i] == C[i-1]","If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 6 more than the value at the position where the first-dimensional variable is 1 less."
"Q[i] = max(Q[i-1], 0) if Z[i] != Z[i-1]","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 0."
"if Y[i] != Y[i-1], then F[i] = max(F[i-1], 1)","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 1."
"G[i] = max(G[i-1], 2) provided that X[i] != X[i-1]","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 2."
"When A[i] != A[i-1], P[i] = max(P[i-1], 3)","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 3."
"Q[i] = max(Q[i-1], 4), whenever B[i] != B[i-1]","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 4."
P[i] = 0 assuming i == 0,"If the first-dimensional variable is 0, the value is 0."
T[i] = T[i-1] + 7 assuming X[i] == X[i-1],"If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 7 more than the value at the position where the first-dimensional variable is 1 less."
"G[i] = max(G[i-1], 5) assuming Y[i] != Y[i-1]","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 5."
F((i)) = 0 if ((i == 0)),"If the first-dimensional variable is 0, the value is 0."
G((i)) = G((i-1)) + 8 if ((A[i] == A[i-1])),"If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 8 more than the value at the position where the first-dimensional variable is 1 less."
"T((i)) = max((T((i-1))), 9) if ((Z[i] != Z[i-1]))","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 9."
"if i == 0, then Q(i) = 0","If the first-dimensional variable is 0, the value is 0."
"if X[i] == X[i-1], then P(i) = P(i-1) + 10","If the item corresponding to the first-dimensional variable is equal to the item at the position where the first-dimensional variable is 1 less, the value is 10 more than the value at the position where the first-dimensional variable is 1 less."
"if Z[i] != Z[i-1], then T(i) = max(T(i-1), 6)","If the item corresponding to the first-dimensional variable is not equal to the item at the position where the first-dimensional variable is 1 less, the value is the larger of the value at the position where the first-dimensional variable is 1 less and 6."
"L[i, j, k] = 0 if i == 0 or j == 0 or k == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0 or the third-dimensional variable is 0, the value is 0."
"if i == 0 or j == 0 or k == 0, then L[i, j, k] = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0 or the third-dimensional variable is 0, the value is 0."
"L[i, j, k] = 0 provided that i == 0 or j == 0 or k == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0 or the third-dimensional variable is 0, the value is 0."
"L[i, j, k] = 0 whenever i == 0 or j == 0 or k == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0 or the third-dimensional variable is 0, the value is 0."
"When i == 0 or j == 0 or k == 0, L[i, j, k] = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0 or the third-dimensional variable is 0, the value is 0."
"L[i, j, k] = L[i-1, j-1, k-1] + 1 if A[i] == B[j] == C[k]","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are equal, the value is 1 more than the value at the position where each dimension is 1 less."
"if A[i] == B[j] == C[k], then L[i, j, k] = L[i-1, j-1, k-1] + 2","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are equal, the value is 2 more than the value at the position where each dimension is 1 less."
"L[i, j, k] = L[i-1, j-1, k-1] + 3 provided that X[i] == Y[j] == Z[k]","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are equal, the value is 3 more than the value at the position where each dimension is 1 less."
"When U[i] == V[j] == W[k], L[i, j, k] = L[i-1, j-1, k-1] + 4","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are equal, the value is 4 more than the value at the position where each dimension is 1 less."
"L[i, j, k] = L[i-1, j-1, k-1] + 5, whenever A[i] == B[j] == C[k]","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are equal, the value is 5 more than the value at the position where each dimension is 1 less."
"L[i, j, k] = max(L[i-1, j, k], L[i, j-1, k], L[i, j, k-1]) if A[i] != B[j] != C[k]","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are not equal, the value is the largest among the values at the positions where the first-dimensional variable, second-dimensional variable, or third-dimensional variable is 1 less."
"if A[i] != B[j] != C[k], then L[i, j, k] = max(L[i-1, j, k], L[i, j-1, k], L[i, j, k-1])","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are not equal, the value is the largest among the values at the positions where the first-dimensional variable, second-dimensional variable, or third-dimensional variable is 1 less."
"L[i, j, k] = max(L[i-1, j, k], L[i, j-1, k], L[i, j, k-1]) provided that X[i] != Y[j] != Z[k]","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are not equal, the value is the largest among the values at the positions where the first-dimensional variable, second-dimensional variable, or third-dimensional variable is 1 less."
"When A[i] != B[j] != C[k], L[i, j, k] = max(L[i-1, j, k], L[i, j-1, k], L[i, j, k-1])","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are not equal, the value is the largest among the values at the positions where the first-dimensional variable, second-dimensional variable, or third-dimensional variable is 1 less."
"L[i, j, k] = max(L[i-1, j, k], L[i, j-1, k], L[i, j, k-1]), whenever U[i] != V[j] != W[k]","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are not equal, the value is the largest among the values at the positions where the first-dimensional variable, second-dimensional variable, or third-dimensional variable is 1 less."
"L[i, j, k] = 0 assuming i == 0 or j == 0 or k == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0 or the third-dimensional variable is 0, the value is 0."
"L[i, j, k] = L[i-1, j-1, k-1] + 6 assuming A[i] == B[j] == C[k]","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are equal, the value is 6 more than the value at the position where each dimension is 1 less."
"L[i, j, k] = max(L[i-1, j, k], L[i, j-1, k], L[i, j, k-1]) assuming X[i] != Y[j] != Z[k]","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are not equal, the value is the largest among the values at the positions where the first-dimensional variable, second-dimensional variable, or third-dimensional variable is 1 less."
"L((i), (j), (k)) = 0 if ((i == 0) or (j == 0) or (k == 0))","If the first-dimensional variable is 0 or the second-dimensional variable is 0 or the third-dimensional variable is 0, the value is 0."
"L((i), (j), (k)) = L((i-1), (j-1), (k-1)) + 7 if ((A[i] == B[j] == C[k]))","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are equal, the value is 7 more than the value at the position where each dimension is 1 less."
"L((i), (j), (k)) = max((L((i-1), j, k)), (L(i, j-1, k)), (L(i, j, k-1))) if ((A[i] != B[j] != C[k]))","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are not equal, the value is the largest among the values at the positions where the first-dimensional variable, second-dimensional variable, or third-dimensional variable is 1 less."
"if i == 0 or j == 0 or k == 0, then Q(i, j, k) = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0 or the third-dimensional variable is 0, the value is 0."
"if X[i] == Y[j] == Z[k], then T(i, j, k) = T(i-1, j-1, k-1) + 8","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are equal, the value is 8 more than the value at the position where each dimension is 1 less."
"if Z[i] != Y[j] != X[k], then T(i, j, k) = max(T(i-1, j, k), T(i, j-1, k), T(i, j, k-1))","If the items corresponding to the first-dimensional variable, second-dimensional variable, and third-dimensional variable are not equal, the value is the largest among the values at the positions where the first-dimensional variable, second-dimensional variable, or third-dimensional variable is 1 less."
T[we-3] = 5 if we == 7,"If the first-dimensional variable is 7, the value at the position where the first-dimensional variable minus 3 is 5."
P[asd-1] = 3 whenever asd == 2,"If the first-dimensional variable is 2, the value at the position where the first-dimensional variable minus 1 is 3."
Q[x-4] = 6 when x == 8,"If the first-dimensional variable is 8, the value at the position where the first-dimensional variable minus 4 is 6."
F[z-2] = 0 if z == 3,"If the first-dimensional variable is 3, the value at the position where the first-dimensional variable minus 2 is 0."
R[a-5] = 7 provided that a == 10,"If the first-dimensional variable is 10, the value at the position where the first-dimensional variable minus 5 is 7."
"M[x-1, y-2] = 4 if x == 5 and y == 6","If the first-dimensional variable is 5 and the second-dimensional variable is 6, the value at the position where the first-dimensional variable minus 1 and the second-dimensional variable minus 2 is 4."
"T[we-3, sdf-4] = 9 when we == 7 and sdf == 8","If the first-dimensional variable is 7 and the second-dimensional variable is 8, the value at the position where the first-dimensional variable minus 3 and the second-dimensional variable minus 4 is 9."
"Q[a-2, b-3] = 6 whenever a == 4 or b == 5","If the first-dimensional variable is 4 or the second-dimensional variable is 5, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable minus 3 is 6."
"H[x-1, y-1] = 2 provided that x == 3 and y == 3","If the first-dimensional variable is 3 and the second-dimensional variable is 3, the value at the position where both the first-dimensional and second-dimensional variables minus 1 is 2."
"Z[a-4, b-4] = 5 if a == 8 or b == 9","If the first-dimensional variable is 8 or the second-dimensional variable is 9, the value at the position where the first-dimensional variable minus 4 and the second-dimensional variable minus 4 is 5."
"F[asd-2, sdf-3, yui-4] = 8 if asd == 5 or sdf == 6 or yui == 7","If the first-dimensional variable is 5, the second-dimensional variable is 6, or the third-dimensional variable is 7, the value at the position where the first-dimensional variable minus 2, the second-dimensional variable minus 3, and the third-dimensional variable minus 4 is 8."
"M[x-1, y-2, z-3] = 3 when x == 4 and y == 5 and z == 6","If the first-dimensional variable is 4, the second-dimensional variable is 5, and the third-dimensional variable is 6, the value at the position where the first-dimensional variable minus 1, the second-dimensional variable minus 2, and the third-dimensional variable minus 3 is 3."
"P[abc-5, def-6, ghi-7] = 9 provided that abc == 10 or def == 11 or ghi == 12","If the first-dimensional variable is 10, the second-dimensional variable is 11, or the third-dimensional variable is 12, the value at the position where the first-dimensional variable minus 5, the second-dimensional variable minus 6, and the third-dimensional variable minus 7 is 9."
"T[we-2, sdf-3, yui-4] = 4 whenever we == 6 and sdf == 7 and yui == 8","If the first-dimensional variable is 6, the second-dimensional variable is 7, and the third-dimensional variable is 8, the value at the position where the first-dimensional variable minus 2, the second-dimensional variable minus 3, and the third-dimensional variable minus 4 is 4."
"Q[w-3, e-4, r-5] = 7 if w == 9 and e == 10 and r == 11","If the first-dimensional variable is 9, the second-dimensional variable is 10, and the third-dimensional variable is 11, the value at the position where the first-dimensional variable minus 3, the second-dimensional variable minus 4, and the third-dimensional variable minus 5 is 7."
P[abc-1] = 7 if abc == 5,"If the first-dimensional variable is 5, the value at the position where the first-dimensional variable minus 1 is 7."
F[rty-2] = 4 if rty == 8,"If the first-dimensional variable is 8, the value at the position where the first-dimensional variable minus 2 is 4."
Q[science-3] = 9 when science == 6,"If the first-dimensional variable is 6, the value at the position where the first-dimensional variable minus 3 is 9."
Z[maths-4] = 2 whenever maths == 10,"If the first-dimensional variable is 10, the value at the position where the first-dimensional variable minus 4 is 2."
T[daa-5] = 1 provided that daa == 12,"If the first-dimensional variable is 12, the value at the position where the first-dimensional variable minus 5 is 1."
"F[abc-2, rty-3] = 6 if abc == 4 and rty == 7","If the first-dimensional variable is 4 and the second-dimensional variable is 7, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable minus 3 is 6."
"Q[science-4, maths-5] = 8 when science == 9 and maths == 13","If the first-dimensional variable is 9 and the second-dimensional variable is 13, the value at the position where the first-dimensional variable minus 4 and the second-dimensional variable minus 5 is 8."
"Z[daa-3, abc-2] = 3 whenever daa == 6 or abc == 8","If the first-dimensional variable is 6 or the second-dimensional variable is 8, the value at the position where the first-dimensional variable minus 3 and the second-dimensional variable minus 2 is 3."
"P[rty-1, science-2] = 5 provided that rty == 2 and science == 4","If the first-dimensional variable is 2 and the second-dimensional variable is 4, the value at the position where the first-dimensional variable minus 1 and the second-dimensional variable minus 2 is 5."
"T[maths-2, daa-1] = 7 if maths == 11 and daa == 14","If the first-dimensional variable is 11 and the second-dimensional variable is 14, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable minus 1 is 7."
"Q[abc-2, rty-3, science-4] = 9 if abc == 6, rty == 8, and science == 10","If the first-dimensional variable is 6, the second-dimensional variable is 8, and the third-dimensional variable is 10, the value at the position where the first-dimensional variable minus 2, the second-dimensional variable minus 3, and the third-dimensional variable minus 4 is 9."
"F[maths-5, daa-3, abc-2] = 4 when maths == 15, daa == 9, and abc == 6","If the first-dimensional variable is 15, the second-dimensional variable is 9, and the third-dimensional variable is 6, the value at the position where the first-dimensional variable minus 5, the second-dimensional variable minus 3, and the third-dimensional variable minus 2 is 4."
"Z[rty-1, science-2, maths-3] = 7 whenever rty == 3, science == 5, and maths == 7","If the first-dimensional variable is 3, the second-dimensional variable is 5, and the third-dimensional variable is 7, the value at the position where the first-dimensional variable minus 1, the second-dimensional variable minus 2, and the third-dimensional variable minus 3 is 7."
"P[daa-4, abc-3, rty-2] = 2 provided that daa == 10, abc == 9, and rty == 8","If the first-dimensional variable is 10, the second-dimensional variable is 9, and the third-dimensional variable is 8, the value at the position where the first-dimensional variable minus 4, the second-dimensional variable minus 3, and the third-dimensional variable minus 2 is 2."
"T[science-1, maths-2, daa-3] = 6 if science == 11, maths == 13, and daa == 15","If the first-dimensional variable is 11, the second-dimensional variable is 13, and the third-dimensional variable is 15, the value at the position where the first-dimensional variable minus 1, the second-dimensional variable minus 2, and the third-dimensional variable minus 3 is 6."
P[abc-1] = 3 if abc == 4,"If the first-dimensional variable is 4, the value at the position where the first-dimensional variable minus 1 is 3."
"Q[rty-2, science-3] = 5 whenever rty == 6 or science == 9","If the first-dimensional variable is 6 or the second-dimensional variable is 9, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable minus 3 is 5."
"F[maths-3, daa-4, abc-5] = 8 when maths == 13, daa == 14, and abc == 15","If the first-dimensional variable is 13, the second-dimensional variable is 14, and the third-dimensional variable is 15, the value at the position where the first-dimensional variable minus 3, the second-dimensional variable minus 4, and the third-dimensional variable minus 5 is 8."
Z[science-1] = 7 if science == 3,"If the first-dimensional variable is 3, the value at the position where the first-dimensional variable minus 1 is 7."
"T[maths-2, daa-1] = 9 provided that maths == 12 and daa == 13","If the first-dimensional variable is 12 and the second-dimensional variable is 13, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable minus 1 is 9."
P[xyz-1] = 5 if xyz == 3,"If the first-dimensional variable is 3, the value at the position where the first-dimensional variable minus 1 is 5."
F[comp-2] = 8 if comp == 6,"If the first-dimensional variable is 6, the value at the position where the first-dimensional variable minus 2 is 8."
Q[phy-3] = 4 when phy == 9,"If the first-dimensional variable is 9, the value at the position where the first-dimensional variable minus 3 is 4."
Z[bio-4] = 1 whenever bio == 10,"If the first-dimensional variable is 10, the value at the position where the first-dimensional variable minus 4 is 1."
T[engg-5] = 6 provided that engg == 11,"If the first-dimensional variable is 11, the value at the position where the first-dimensional variable minus 5 is 6."
"P[xyz-1, comp-2] = 7 if xyz == 3 and comp == 4","If the first-dimensional variable is 3 and the second-dimensional variable is 4, the value at the position where the first-dimensional variable minus 1 and the second-dimensional variable minus 2 is 7."
"F[bio-2, phy-3] = 9 when bio == 5 and phy == 8","If the first-dimensional variable is 5 and the second-dimensional variable is 8, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable minus 3 is 9."
"Z[engg-4, xyz-1] = 2 whenever engg == 7 or xyz == 9","If the first-dimensional variable is 7 or the second-dimensional variable is 9, the value at the position where the first-dimensional variable minus 4 and the second-dimensional variable minus 1 is 2."
"T[phy-3, bio-2] = 4 provided that phy == 6 and bio == 5","If the first-dimensional variable is 6 and the second-dimensional variable is 5, the value at the position where the first-dimensional variable minus 3 and the second-dimensional variable minus 2 is 4."
"Q[comp-2, engg-5] = 3 if comp == 4 or engg == 8","If the first-dimensional variable is 4 or the second-dimensional variable is 8, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable minus 5 is 3."
"F[xyz-1, comp-2, bio-3] = 6 if xyz == 3, comp == 5, and bio == 7","If the first-dimensional variable is 3, the second-dimensional variable is 5, and the third-dimensional variable is 7, the value at the position where the first-dimensional variable minus 1, the second-dimensional variable minus 2, and the third-dimensional variable minus 3 is 6."
"P[phy-3, bio-2, xyz-1] = 8 when phy == 6, bio == 7, and xyz == 9","If the first-dimensional variable is 6, the second-dimensional variable is 7, and the third-dimensional variable is 9, the value at the position where the first-dimensional variable minus 3, the second-dimensional variable minus 2, and the third-dimensional variable minus 1 is 8."
"T[comp-4, engg-3, phy-2] = 9 whenever comp == 8, engg == 6, and phy == 5","If the first-dimensional variable is 8, the second-dimensional variable is 6, and the third-dimensional variable is 5, the value at the position where the first-dimensional variable minus 4, the second-dimensional variable minus 3, and the third-dimensional variable minus 2 is 9."
"Z[xyz-1, bio-3, engg-5] = 7 provided that xyz == 4, bio == 6, and engg == 8","If the first-dimensional variable is 4, the second-dimensional variable is 6, and the third-dimensional variable is 8, the value at the position where the first-dimensional variable minus 1, the second-dimensional variable minus 3, and the third-dimensional variable minus 5 is 7."
"Q[phy-2, comp-1, bio-4] = 3 if phy == 5, comp == 6, and bio == 10","If the first-dimensional variable is 5, the second-dimensional variable is 6, and the third-dimensional variable is 10, the value at the position where the first-dimensional variable minus 2, the second-dimensional variable minus 1, and the third-dimensional variable minus 4 is 3."
T[xyz-1] = 5 if xyz == 2,"If the first-dimensional variable is 2, the value at the position where the first-dimensional variable minus 1 is 5."
"Z[comp-2, bio-3] = 7 when comp == 4 and bio == 8","If the first-dimensional variable is 4 and the second-dimensional variable is 8, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable minus 3 is 7."
"P[engg-4, phy-3, bio-2] = 6 if engg == 9, phy == 7, and bio == 6","If the first-dimensional variable is 9, the second-dimensional variable is 7, and the third-dimensional variable is 6, the value at the position where the first-dimensional variable minus 4, the second-dimensional variable minus 3, and the third-dimensional variable minus 2 is 6."
Q[bio-2] = 8 provided that bio == 6,"If the first-dimensional variable is 6, the value at the position where the first-dimensional variable minus 2 is 8."
"F[phy-3, engg-1] = 4 whenever phy == 8 or engg == 6","If the first-dimensional variable is 8 or the second-dimensional variable is 6, the value at the position where the first-dimensional variable minus 3 and the second-dimensional variable minus 1 is 4."
P[abc+1] = 5 if abc == 3,"If the first-dimensional variable is 3, the value at the position where the first-dimensional variable plus 1 is 5."
F[rty*2] = 10 if rty == 4,"If the first-dimensional variable is 4, the value at the position where the first-dimensional variable multiplied by 2 is 10."
Q[phy/2] = 7 when phy == 8,"If the first-dimensional variable is 8, the value at the position where the first-dimensional variable divided by 2 is 7."
Z[bio+4] = 6 whenever bio == 10,"If the first-dimensional variable is 10, the value at the position where the first-dimensional variable plus 4 is 6."
T[engg-5] = 1 provided that engg == 11,"If the first-dimensional variable is 11, the value at the position where the first-dimensional variable minus 5 is 1."
X[comp*3] = 12 if comp == 2,"If the first-dimensional variable is 2, the value at the position where the first-dimensional variable multiplied by 3 is 12."
Y[phy/4] = 2 if phy == 16,"If the first-dimensional variable is 16, the value at the position where the first-dimensional variable divided by 4 is 2."
T[abc+5] = 8 when abc == 10,"If the first-dimensional variable is 10, the value at the position where the first-dimensional variable plus 5 is 8."
R[engg*2] = 9 whenever engg == 5,"If the first-dimensional variable is 5, the value at the position where the first-dimensional variable multiplied by 2 is 9."
P[xyz/3] = 3 if xyz == 9,"If the first-dimensional variable is 9, the value at the position where the first-dimensional variable divided by 3 is 3."
"F[abc+1, rty-2] = 7 if abc == 3 and rty == 5","If the first-dimensional variable is 3 and the second-dimensional variable is 5, the value at the position where the first-dimensional variable plus 1 and the second-dimensional variable minus 2 is 7."
"Q[comp*2, phy/4] = 9 when comp == 3 and phy == 8","If the first-dimensional variable is 3 and the second-dimensional variable is 8, the value at the position where the first-dimensional variable multiplied by 2 and the second-dimensional variable divided by 4 is 9."
"Z[bio+3, xyz-2] = 6 whenever bio == 7 or xyz == 9","If the first-dimensional variable is 7 or the second-dimensional variable is 9, the value at the position where the first-dimensional variable plus 3 and the second-dimensional variable minus 2 is 6."
"P[engg-1, comp*2] = 5 provided that engg == 3 and comp == 2","If the first-dimensional variable is 3 and the second-dimensional variable is 2, the value at the position where the first-dimensional variable minus 1 and the second-dimensional variable multiplied by 2 is 5."
"T[phy/2, bio+5] = 4 if phy == 10 or bio == 8","If the first-dimensional variable is 10 or the second-dimensional variable is 8, the value at the position where the first-dimensional variable divided by 2 and the second-dimensional variable plus 5 is 4."
